Num,sheet_id,page,slot,slot_name,image_path,char,yomi,style,note,set,,,
176,萬歳寿而康_5,35,5,left_middle,data/images/KAI_p035_05.png,康,やすし,楷書,,萬歳寿而康,X,172,O
177,松竹水聲涼_1,36,1,right_top,data/images/KAI_p036_01.png,松,まつ,楷書,,松竹水聲涼,O,177,O
178,松竹水聲涼_2,36,2,right_middle,data/images/KAI_p036_02.png,竹,たけ,楷書,,松竹水聲涼,O,177,O
179,松竹水聲涼_3,36,3,right_bottom,data/images/KAI_p036_03.png,水,みず,楷書,,松竹水聲涼,O,177,O
180,松竹水聲涼_4,36,4,left_top,data/images/KAI_p036_04.png,聲,こえ,楷書,,松竹水聲涼,O,177,O
181,松竹水聲涼_5,36,5,left_middle,data/images/KAI_p036_05.png,涼,りょう,楷書,,松竹水聲涼,O,177,O
182,弄琴宜在夜_1,37,1,right_top,data/images/KAI_p037_01.png,弄,ろう,楷書,,弄琴宜在夜,X,182,O
183,弄琴宜在夜_2,37,2,right_middle,data/images/KAI_p037_02.png,琴,こん,楷書,,弄琴宜在夜,X,182,O
184,弄琴宜在夜_3,37,3,right_bottom,data/images/KAI_p037_03.png,宜,ぎ,楷書,,弄琴宜在夜,X,182,O
185,弄琴宜在夜_4,37,4,left_top,data/images/KAI_p037_04.png,在,ざい,楷書,,弄琴宜在夜,X,182,O
186,弄琴宜在夜_5,37,5,left_middle,data/images/KAI_p037_05.png,夜,よる,楷書,,弄琴宜在夜,X,182,O
187,涼雨消炎煥_1,38,1,right_top,data/images/KAI_p038_01.png,涼,りょう,楷書,,涼雨消炎煥,X,187,O
188,涼雨消炎煥_2,38,2,right_middle,data/images/KAI_p038_02.png,雨,あめ,楷書,,涼雨消炎煥,X,187,O
189,涼雨消炎煥_3,38,3,right_bottom,data/images/KAI_p038_03.png,消,しょう,楷書,,涼雨消炎煥,X,187,O
190,涼雨消炎煥_4,38,4,left_top,data/images/KAI_p038_04.png,炎,ほのお,楷書,,涼雨消炎煥,X,187,O
191,涼雨消炎煥_5,38,5,left_middle,data/images/KAI_p038_05.png,煥,かん,楷書,,涼雨消炎煥,X,187,O
192,千峰紅葉村_1,39,1,right_top,data/images/KAI_p039_01.png,千,せん,楷書,,千峰紅葉村,O,52,X
193,千峰紅葉村_2,39,2,right_middle,data/images/KAI_p039_02.png,峰,みね,楷書,,千峰紅葉村,O,52,X
194,千峰紅葉村_3,39,3,right_bottom,data/images/KAI_p039_03.png,紅,くれない,楷書,,千峰紅葉村,O,52,X
195,千峰紅葉村_4,39,4,left_top,data/images/KAI_p039_04.png,葉,は,楷書,,千峰紅葉村,O,52,X
196,千峰紅葉村_5,39,5,left_middle,data/images/KAI_p039_05.png,村,むら,楷書,,千峰紅葉村,O,52,X
197,清秋最可人_1,40,1,right_top,data/images/KAI_p040_01.png,清,きよし,楷書,,清秋最可人,X,197,O
198,清秋最可人_2,40,2,right_middle,data/images/KAI_p040_02.png,秋,あき,楷書,,清秋最可人,X,197,O
199,清秋最可人_3,40,3,right_bottom,data/images/KAI_p040_03.png,最,さい,楷書,,清秋最可人,X,197,O
200,清秋最可人_4,40,4,left_top,data/images/KAI_p040_04.png,可,か,楷書,,清秋最可人,X,197,O
201,清秋最可人_5,40,5,left_middle,data/images/KAI_p040_05.png,人,にん,楷書,,清秋最可人,X,197,O
202,瑶草三秋色_1,41,1,right_top,data/images/KAI_p041_01.png,瑶,よう,楷書,,瑶草三秋色,O,202,O
203,瑶草三秋色_2,41,2,right_middle,data/images/KAI_p041_02.png,草,くさ,楷書,,瑶草三秋色,O,202,O
204,瑶草三秋色_3,41,3,right_bottom,data/images/KAI_p041_03.png,三,さん,楷書,,瑶草三秋色,O,202,O
205,瑶草三秋色_4,41,4,left_top,data/images/KAI_p041_04.png,秋,あき,楷書,,瑶草三秋色,O,202,O
206,瑶草三秋色_5,41,5,left_middle,data/images/KAI_p041_05.png,色,いろ,楷書,,瑶草三秋色,O,202,O
207,賀扇動清風_1,42,1,right_top,data/images/KAI_p042_01.png,賀,が,楷書,,賀扇動清風,X,207,O
208,賀扇動清風_2,42,2,right_middle,data/images/KAI_p042_02.png,扇,おうぎ,楷書,,賀扇動清風,X,207,O
209,賀扇動清風_3,42,3,right_bottom,data/images/KAI_p042_03.png,動,どう,楷書,,賀扇動清風,X,207,O
210,賀扇動清風_4,42,4,left_top,data/images/KAI_p042_04.png,清,きよし,楷書,,賀扇動清風,X,207,O
211,賀扇動清風_5,42,5,left_middle,data/images/KAI_p042_05.png,風,かぜ,楷書,,賀扇動清風,X,207,O
212,涼夜如清水_1,43,1,right_top,data/images/KAI_p043_01.png,涼,りょう,楷書,,涼夜如清水,X,212,O
213,涼夜如清水_2,43,2,right_middle,data/images/KAI_p043_02.png,夜,よる,楷書,,涼夜如清水,X,212,O
214,涼夜如清水_3,43,3,right_bottom,data/images/KAI_p043_03.png,如,じょ,楷書,,涼夜如清水,X,212,O
215,涼夜如清水_4,43,4,left_top,data/images/KAI_p043_04.png,清,きよし,楷書,,涼夜如清水,X,212,O
216,涼夜如清水_5,43,5,left_middle,data/images/KAI_p043_05.png,水,みず,楷書,,涼夜如清水,X,212,O
217,梅花呈秀色_1,44,1,right_top,data/images/KAI_p044_01.png,梅,うめ,楷書,,梅花呈秀色,O,217,O
218,梅花呈秀色_2,44,2,right_middle,data/images/KAI_p044_02.png,花,はな,楷書,,梅花呈秀色,O,217,O
219,梅花呈秀色_3,44,3,right_bottom,data/images/KAI_p044_03.png,呈,てい,楷書,,梅花呈秀色,O,217,O
220,梅花呈秀色_4,44,4,left_top,data/images/KAI_p044_04.png,秀,しゅう,楷書,,梅花呈秀色,O,217,O
221,梅花呈秀色_5,44,5,left_middle,data/images/KAI_p044_05.png,色,いろ,楷書,,梅花呈秀色,O,217,O
222,福生於清約_1,45,1,right_top,data/images/KAI_p045_01.png,福,ふく,楷書,,福生於清約,X,222,O
223,福生於清約_2,45,2,right_middle,data/images/KAI_p045_02.png,生,なま,楷書,,福生於清約,X,222,O
224,福生於清約_3,45,3,right_bottom,data/images/KAI_p045_03.png,於,お,楷書,,福生於清約,X,222,O
225,福生於清約_4,45,4,left_top,data/images/KAI_p045_04.png,清,きよし,楷書,,福生於清約,X,222,O
